text,label,category,language,severity
"('{} delivery: Customs hold. Pay Rs {} online.', 'delivery_customs')",SCAM,trai_block,en,HIGH
"('Your {} KYC expired. Update at fake-{}.com', 'kyc_aadhaar')",SCAM,cryptocurrency,en,MODERATE
"('Your {} KYC expired. Update at fake-{}.com', 'kyc_aadhaar')",SCAM,insurance,en,MODERATE
"('Your {} KYC expired. Update at fake-{}.com', 'kyc_aadhaar')",SCAM,utility_electricity,en,MODERATE
"('Your {} KYC expired. Update at fake-{}.com', 'kyc_aadhaar')",SCAM,screen_share,en,CRITICAL
"('Your {} KYC expired. Update at fake-{}.com', 'kyc_aadhaar')",SCAM,romance_honeytrap,en,HIGH
"('URGENT: {} account suspended. Verify OTP within 1 hour.', 'banking_otp')",SCAM,fake_police,en,CRITICAL
"('URGENT: {} account suspended. Verify OTP within 1 hour.', 'banking_otp')",SCAM,utility_electricity,en,MODERATE
"('URGENT: {} account suspended. Verify OTP within 1 hour.', 'banking_otp')",SCAM,part_time_task,en,CRITICAL
"('{} lottery: You won! Pay processing fee.', 'lottery_prize')",SCAM,phishing,en,HIGH
"('URGENT: {} account suspended. Verify OTP within 1 hour.', 'banking_otp')",SCAM,government_impersonation,en,HIGH
"('Your {} KYC expired. Update at fake-{}.com', 'kyc_aadhaar')",SCAM,family_impersonation,en,CRITICAL
"('{} lottery: You won! Pay processing fee.', 'lottery_prize')",SCAM,delivery_customs,en,CRITICAL
"('{} lottery: You won! Pay processing fee.', 'lottery_prize')",SCAM,government_impersonation,en,MODERATE
"('Your {} KYC expired. Update at fake-{}.com', 'kyc_aadhaar')",SCAM,part_time_task,en,MODERATE
"('{} delivery: Customs hold. Pay Rs {} online.', 'delivery_customs')",SCAM,qr_upi,en,CRITICAL
"('Your {} KYC expired. Update at fake-{}.com', 'kyc_aadhaar')",SCAM,government_impersonation,en,CRITICAL
"('URGENT: {} account suspended. Verify OTP within 1 hour.', 'banking_otp')",SCAM,romance_honeytrap,en,CRITICAL
"('Your {} KYC expired. Update at fake-{}.com', 'kyc_aadhaar')",SCAM,phishing,en,MODERATE
"('{} delivery: Customs hold. Pay Rs {} online.', 'delivery_customs')",SCAM,qr_upi,en,MODERATE
"('{} lottery: You won! Pay processing fee.', 'lottery_prize')",SCAM,investment_ponzi,en,HIGH
"('{} lottery: You won! Pay processing fee.', 'lottery_prize')",SCAM,phishing,en,CRITICAL
"('{} lottery: You won! Pay processing fee.', 'lottery_prize')",SCAM,kyc_aadhaar,en,HIGH
"('URGENT: {} account suspended. Verify OTP within 1 hour.', 'banking_otp')",SCAM,trai_block,en,HIGH
"('{} delivery: Customs hold. Pay Rs {} online.', 'delivery_customs')",SCAM,fake_emergency,en,HIGH
"('{} delivery: Customs hold. Pay Rs {} online.', 'delivery_customs')",SCAM,cryptocurrency,en,CRITICAL
"('URGENT: {} account suspended. Verify OTP within 1 hour.', 'banking_otp')",SCAM,government_impersonation,en,MODERATE
"('URGENT: {} account suspended. Verify OTP within 1 hour.', 'banking_otp')",SCAM,tech_support,en,CRITICAL
"('URGENT: {} account suspended. Verify OTP within 1 hour.', 'banking_otp')",SCAM,lottery_prize,en,MODERATE
"('URGENT: {} account suspended. Verify OTP within 1 hour.', 'banking_otp')",SCAM,insurance,en,CRITICAL
"('Your {} KYC expired. Update at fake-{}.com', 'kyc_aadhaar')",SCAM,investment_ponzi,en,CRITICAL
"('URGENT: {} account suspended. Verify OTP within 1 hour.', 'banking_otp')",SCAM,fake_emergency,en,CRITICAL
"('URGENT: {} account suspended. Verify OTP within 1 hour.', 'banking_otp')",SCAM,fake_police,en,CRITICAL
"('Your {} KYC expired. Update at fake-{}.com', 'kyc_aadhaar')",SCAM,phishing,en,HIGH
"('URGENT: {} account suspended. Verify OTP within 1 hour.', 'banking_otp')",SCAM,part_time_task,en,HIGH
"('Your {} KYC expired. Update at fake-{}.com', 'kyc_aadhaar')",SCAM,lottery_prize,en,MODERATE
"('Your {} KYC expired. Update at fake-{}.com', 'kyc_aadhaar')",SCAM,part_time_task,en,MODERATE
"('{} lottery: You won! Pay processing fee.', 'lottery_prize')",SCAM,qr_upi,en,MODERATE
"('{} delivery: Customs hold. Pay Rs {} online.', 'delivery_customs')",SCAM,cryptocurrency,en,CRITICAL
"('Your {} KYC expired. Update at fake-{}.com', 'kyc_aadhaar')",SCAM,digital_arrest,en,CRITICAL
"('Your {} KYC expired. Update at fake-{}.com', 'kyc_aadhaar')",SCAM,phishing,en,HIGH
"('URGENT: {} account suspended. Verify OTP within 1 hour.', 'banking_otp')",SCAM,kyc_aadhaar,en,HIGH
"('URGENT: {} account suspended. Verify OTP within 1 hour.', 'banking_otp')",SCAM,cryptocurrency,en,HIGH
"('Your {} KYC expired. Update at fake-{}.com', 'kyc_aadhaar')",SCAM,part_time_task,en,HIGH
"('{} delivery: Customs hold. Pay Rs {} online.', 'delivery_customs')",SCAM,kyc_aadhaar,en,CRITICAL
"('URGENT: {} account suspended. Verify OTP within 1 hour.', 'banking_otp')",SCAM,family_impersonation,en,MODERATE
"('{} delivery: Customs hold. Pay Rs {} online.', 'delivery_customs')",SCAM,screen_share,en,CRITICAL
"('URGENT: {} account suspended. Verify OTP within 1 hour.', 'banking_otp')",SCAM,trai_block,en,CRITICAL
"('URGENT: {} account suspended. Verify OTP within 1 hour.', 'banking_otp')",SCAM,kyc_aadhaar,en,HIGH
"('{} delivery: Customs hold. Pay Rs {} online.', 'delivery_customs')",SCAM,investment_ponzi,en,CRITICAL
"('{} delivery: Customs hold. Pay Rs {} online.', 'delivery_customs')",SCAM,kyc_aadhaar,en,HIGH
"('URGENT: {} account suspended. Verify OTP within 1 hour.', 'banking_otp')",SCAM,trai_block,en,MODERATE
"('URGENT: {} account suspended. Verify OTP within 1 hour.', 'banking_otp')",SCAM,kyc_aadhaar,en,HIGH
"('{} delivery: Customs hold. Pay Rs {} online.', 'delivery_customs')",SCAM,job_employment,en,CRITICAL
"('{} delivery: Customs hold. Pay Rs {} online.', 'delivery_customs')",SCAM,banking_otp,en,CRITICAL
"('{} lottery: You won! Pay processing fee.', 'lottery_prize')",SCAM,screen_share,en,MODERATE
"('{} delivery: Customs hold. Pay Rs {} online.', 'delivery_customs')",SCAM,investment_ponzi,en,HIGH
"('URGENT: {} account suspended. Verify OTP within 1 hour.', 'banking_otp')",SCAM,phishing,en,MODERATE
"('{} lottery: You won! Pay processing fee.', 'lottery_prize')",SCAM,trai_block,en,HIGH
"('Your {} KYC expired. Update at fake-{}.com', 'kyc_aadhaar')",SCAM,trai_block,en,MODERATE
"('URGENT: {} account suspended. Verify OTP within 1 hour.', 'banking_otp')",SCAM,fake_emergency,en,HIGH
"('{} delivery: Customs hold. Pay Rs {} online.', 'delivery_customs')",SCAM,family_impersonation,en,MODERATE
"('URGENT: {} account suspended. Verify OTP within 1 hour.', 'banking_otp')",SCAM,fake_emergency,en,HIGH
"('{} lottery: You won! Pay processing fee.', 'lottery_prize')",SCAM,lottery_prize,en,HIGH
"('Your {} KYC expired. Update at fake-{}.com', 'kyc_aadhaar')",SCAM,lottery_prize,en,CRITICAL
"('{} delivery: Customs hold. Pay Rs {} online.', 'delivery_customs')",SCAM,romance_honeytrap,en,HIGH
"('URGENT: {} account suspended. Verify OTP within 1 hour.', 'banking_otp')",SCAM,digital_arrest,en,MODERATE
"('{} lottery: You won! Pay processing fee.', 'lottery_prize')",SCAM,investment_ponzi,en,CRITICAL
"('{} lottery: You won! Pay processing fee.', 'lottery_prize')",SCAM,tech_support,en,HIGH
"('{} lottery: You won! Pay processing fee.', 'lottery_prize')",SCAM,fake_emergency,en,MODERATE
"('{} lottery: You won! Pay processing fee.', 'lottery_prize')",SCAM,government_impersonation,en,HIGH
"('URGENT: {} account suspended. Verify OTP within 1 hour.', 'banking_otp')",SCAM,family_impersonation,en,MODERATE
"('{} lottery: You won! Pay processing fee.', 'lottery_prize')",SCAM,tech_support,en,MODERATE
"('Your {} KYC expired. Update at fake-{}.com', 'kyc_aadhaar')",SCAM,government_impersonation,en,MODERATE
"('{} delivery: Customs hold. Pay Rs {} online.', 'delivery_customs')",SCAM,lottery_prize,en,HIGH
"('{} lottery: You won! Pay processing fee.', 'lottery_prize')",SCAM,trai_block,en,HIGH
"('{} lottery: You won! Pay processing fee.', 'lottery_prize')",SCAM,delivery_customs,en,MODERATE
"('{} delivery: Customs hold. Pay Rs {} online.', 'delivery_customs')",SCAM,part_time_task,en,HIGH
"('Your {} KYC expired. Update at fake-{}.com', 'kyc_aadhaar')",SCAM,part_time_task,en,HIGH
"('Your {} KYC expired. Update at fake-{}.com', 'kyc_aadhaar')",SCAM,screen_share,en,HIGH
"('{} lottery: You won! Pay processing fee.', 'lottery_prize')",SCAM,trai_block,en,CRITICAL
"('URGENT: {} account suspended. Verify OTP within 1 hour.', 'banking_otp')",SCAM,fake_police,en,MODERATE
"('Your {} KYC expired. Update at fake-{}.com', 'kyc_aadhaar')",SCAM,kyc_aadhaar,en,HIGH
"('URGENT: {} account suspended. Verify OTP within 1 hour.', 'banking_otp')",SCAM,delivery_customs,en,MODERATE
"('Your {} KYC expired. Update at fake-{}.com', 'kyc_aadhaar')",SCAM,lottery_prize,en,HIGH
"('{} delivery: Customs hold. Pay Rs {} online.', 'delivery_customs')",SCAM,trai_block,en,CRITICAL
"('{} delivery: Customs hold. Pay Rs {} online.', 'delivery_customs')",SCAM,fake_police,en,CRITICAL
"('URGENT: {} account suspended. Verify OTP within 1 hour.', 'banking_otp')",SCAM,government_impersonation,en,HIGH
"('{} lottery: You won! Pay processing fee.', 'lottery_prize')",SCAM,digital_arrest,en,CRITICAL
"('{} delivery: Customs hold. Pay Rs {} online.', 'delivery_customs')",SCAM,government_impersonation,en,MODERATE
"('URGENT: {} account suspended. Verify OTP within 1 hour.', 'banking_otp')",SCAM,lottery_prize,en,HIGH
"('URGENT: {} account suspended. Verify OTP within 1 hour.', 'banking_otp')",SCAM,family_impersonation,en,MODERATE
"('{} lottery: You won! Pay processing fee.', 'lottery_prize')",SCAM,screen_share,en,MODERATE
"('{} delivery: Customs hold. Pay Rs {} online.', 'delivery_customs')",SCAM,phishing,en,HIGH
"('{} delivery: Customs hold. Pay Rs {} online.', 'delivery_customs')",SCAM,banking_otp,en,MODERATE
